Altium Designer Pick and Place Locations
C:\Users\schwarz\AppData\Local\TempReleases\Snapshot\1\Assembly automotive\pnp-data\Pick Place for slave(automotive).csv

========================================================================================================================
File Design Information:

Date:       17-12-24
Time:       17:40
Revision:   Not in VersionControl
Variant:    automotive
Units used: mm

"Designator,""Comment"",""Layer"",""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Rotation"",""Description"",""Height(mm)"""
"C400,""100n/50V"",""TopLayer"",""CAPC1608X08N"",""6.6675"",""46.6725"",""180"",""MLCC"",""0.8000"""
"C401,""100n/50V"",""TopLayer"",""CAPC1608X08N"",""6.6675"",""39.0525"",""180"",""MLCC"",""0.8000"""
"C402,""100n/50V"",""TopLayer"",""CAPC1608X08N"",""29.5074"",""42.5326"",""90"",""MLCC"",""0.8000"""
"C403,""100n/50V"",""TopLayer"",""CAPC1608X08N"",""29.5275"",""50.1650"",""90"",""MLCC"",""0.8000"""
"C404,""100n/50V"",""TopLayer"",""CAPC1608X08N"",""25.7175"",""38.4175"",""0"",""MLCC"",""0.8000"""
"C405,""100n/50V"",""TopLayer"",""CAPC1608X08N"",""31.4325"",""36.5125"",""90"",""MLCC"",""0.8000"""
"C406,""100n/50V"",""TopLayer"",""CAPC1608X08N"",""31.4325"",""33.3375"",""270"",""MLCC"",""0.8000"""
"C407,""100n/50V"",""TopLayer"",""CAPC1608X08N"",""25.9249"",""31.4325"",""0"",""MLCC"",""0.8000"""
"C900,""1u/50V"",""TopLayer"",""CAPC2012X14N"",""11.2713"",""76.0413"",""180"",""MLCC"",""1.4500"""
"C902,""22u/50V"",""TopLayer"",""CAPC2220(5750)230_N"",""10.0013"",""80.8038"",""90"",""MLCC"",""2.3000"""
"C903,""100n/50V"",""TopLayer"",""CAPC1608X08N"",""14.2875"",""88.5825"",""180"",""MLCC"",""0.8000"""
"C904,""1u/50V"",""TopLayer"",""CAPC2012X14N"",""11.4300"",""85.4075"",""0"",""MLCC"",""1.4500"""
"C905,""470p/100V"",""TopLayer"",""CAPC2012X14N"",""15.8750"",""92.3925"",""180"",""MLCC"",""1.4500"""
"C906,""4n7/1000V"",""TopLayer"",""CAPC4532X16N"",""29.5275"",""77.4700"",""0"",""MLCC"",""1.5500"""
"C907,""2u2/250V"",""TopLayer"",""CAPC2220(5750)230_N"",""41.4338"",""86.0425"",""0"",""MLCC"",""2.3000"""
"C908,""2u2/250V"",""TopLayer"",""CAPC2220(5750)230_N"",""41.4338"",""80.1688"",""0"",""MLCC"",""2.3000"""
"C1100,""100n/50V"",""TopLayer"",""CAPC1608X08N"",""122.6875"",""57.2914"",""90"",""MLCC"",""0.8000"""
"C100_1,""100n/50V"",""TopLayer"",""CAPC1608X08N"",""109.6963"",""9.8425"",""90"",""MLCC"",""0.8000"""
"C100_2,""100n/50V"",""TopLayer"",""CAPC1608X08N"",""80.9625"",""9.8425"",""90"",""MLCC"",""0.8000"""
"C101_1,""1u/50V"",""TopLayer"",""CAPC2012X14N"",""97.3138"",""26.3525"",""180"",""MLCC"",""1.4500"""
"C101_2,""1u/50V"",""TopLayer"",""CAPC2012X14N"",""63.1825"",""19.8438"",""90"",""MLCC"",""1.4500"""
"C102_1,""1u/50V"",""TopLayer"",""CAPC2012X14N"",""6.6551"",""61.5516"",""0"",""MLCC"",""1.4500"""
"C102_2,""1u/50V"",""TopLayer"",""CAPC2012X14N"",""7.1662"",""53.8681"",""0"",""MLCC"",""1.4500"""
"C103_1,""1u/50V"",""TopLayer"",""CAPC2012X14N"",""107.4738"",""20.7963"",""270"",""MLCC"",""1.4500"""
"C103_2,""1u/50V"",""TopLayer"",""CAPC2012X14N"",""78.8988"",""20.7963"",""270"",""MLCC"",""1.4500"""
"C104_1,""1u/50V"",""TopLayer"",""CAPC2012X14N"",""26.6499"",""60.5666"",""0"",""MLCC"",""1.4500"""
"C104_2,""1u/50V"",""TopLayer"",""CAPC2012X14N"",""29.8450"",""55.8800"",""90"",""MLCC"",""1.4500"""
"C105_1,""1u/50V"",""TopLayer"",""CAPC2012X14N"",""14.2240"",""64.7180"",""90"",""MLCC"",""1.4500"""
"C105_2,""1u/50V"",""TopLayer"",""CAPC2012X14N"",""14.3055"",""56.7929"",""90"",""MLCC"",""1.4500"""
"C106_1,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""145.7325"",""59.6900"",""0"",""MLCC"",""0.8000"""
"C106_2,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""92.3925"",""59.6900"",""0"",""MLCC"",""0.8000"""
"C107_1,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""28.5750"",""66.0400"",""180"",""MLCC"",""0.8000"""
"C107_2,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""28.8724"",""58.7251"",""180"",""MLCC"",""0.8000"""
"C108_1,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""103.0288"",""16.9862"",""270"",""MLCC"",""0.8000"""
"C108_2,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""74.4538"",""16.9862"",""270"",""MLCC"",""0.8000"""
"C109_1,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""101.4413"",""16.9862"",""270"",""MLCC"",""0.8000"""
"C109_2,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""72.8663"",""16.9862"",""270"",""MLCC"",""0.8000"""
"C110_1,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""99.8538"",""16.9862"",""270"",""MLCC"",""0.8000"""
"C110_2,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""71.2788"",""16.9862"",""270"",""MLCC"",""0.8000"""
"C111_1,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""98.2663"",""16.9862"",""270"",""MLCC"",""0.8000"""
"C111_2,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""69.6913"",""16.9862"",""270"",""MLCC"",""0.8000"""
"C112_1,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""96.6788"",""16.9862"",""270"",""MLCC"",""0.8000"""
"C112_2,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""68.1038"",""16.9862"",""270"",""MLCC"",""0.8000"""
"C113_1,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""95.0913"",""16.9862"",""270"",""MLCC"",""0.8000"""
"C113_2,""10n/100V"",""TopLayer"",""CAPC1608X08N"",""66.5163"",""16.9862"",""270"",""MLCC"",""0.8000"""
