Altium Designer Pick and Place Locations
C:\Users\johan\git_bms\BMS\Slave-18-cell\Sources\Project Outputs for slave-18-ltc6813-1\Pick Place for slave(automotive_single-AFE).csv

========================================================================================================================
File Design Information:

Date:       06/05/26
Time:       20.03
Revision:   220b1bcf9f0417f11ad9042d6f011817b4293b7b
Variant:    automotive_single-AFE
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C908","2u2/250V","TopLayer","CAPC2220(5750)230_N","36.4396","75.1609","0","MLCC"
"x202","690357281676","TopLayer","690357281676","62.7921","0.8934","180",""
"X201","690357281676","TopLayer","690357281676","91.6846","0.8934","180",""
"R119_2","100R","TopLayer","RESC1608X05N","58.3471","9.2796","270","SMD Resistor 100R 0603"
"R119_1","100R","TopLayer","RESC1608X05N","86.9221","9.2796","270","SMD Resistor 100R 0603"
"R118_2","100R","TopLayer","RESC1608X05N","59.9346","9.2796","270","SMD Resistor 100R 0603"
"R118_1","100R","TopLayer","RESC1608X05N","88.5096","9.2796","270","SMD Resistor 100R 0603"
"R117_2","100R","TopLayer","RESC1608X05N","61.5221","9.2796","270","SMD Resistor 100R 0603"
"R117_1","100R","TopLayer","RESC1608X05N","90.0971","9.2796","270","SMD Resistor 100R 0603"
"R116_2","100R","TopLayer","RESC1608X05N","63.1096","9.2796","270","SMD Resistor 100R 0603"
"R116_1","100R","TopLayer","RESC1608X05N","91.6846","9.2796","270","SMD Resistor 100R 0603"
"R115_2","100R","TopLayer","RESC1608X05N","64.6971","9.2796","270","SMD Resistor 100R 0603"
"R115_1","100R","TopLayer","RESC1608X05N","93.2721","9.2796","270","SMD Resistor 100R 0603"
"R114_2","100R","TopLayer","RESC1608X05N","66.2846","9.2796","270","SMD Resistor 100R 0603"
"R114_1","100R","TopLayer","RESC1608X05N","94.8596","9.2796","270","SMD Resistor 100R 0603"
"R113_2","100R","TopLayer","RESC1608X05N","67.8721","9.2796","270","SMD Resistor 100R 0603"
"R113_1","100R","TopLayer","RESC1608X05N","96.4471","9.2796","270","SMD Resistor 100R 0603"
"R112_2","100R","TopLayer","RESC1608X05N","69.4596","9.2796","270","SMD Resistor 100R 0603"
"R112_1","100R","TopLayer","RESC1608X05N","98.0346","9.2796","270","SMD Resistor 100R 0603"
"C115_2","10n/100V","TopLayer","CAPC1608X08N","58.3471","11.9784","270","MLCC"
"C115_1","10n/100V","TopLayer","CAPC1608X08N","86.9221","11.9784","270","MLCC"
"C114_2","10n/100V","TopLayer","CAPC1608X08N","59.9346","11.9784","270","MLCC"
"C114_1","10n/100V","TopLayer","CAPC1608X08N","88.5096","11.9784","270","MLCC"
"C113_2","10n/100V","TopLayer","CAPC1608X08N","61.5221","11.9784","270","MLCC"
"C113_1","10n/100V","TopLayer","CAPC1608X08N","90.0971","11.9784","270","MLCC"
"C112_2","10n/100V","TopLayer","CAPC1608X08N","63.1096","11.9784","270","MLCC"
"C112_1","10n/100V","TopLayer","CAPC1608X08N","91.6846","11.9784","270","MLCC"
"C111_2","10n/100V","TopLayer","CAPC1608X08N","64.6971","11.9784","270","MLCC"
"C111_1","10n/100V","TopLayer","CAPC1608X08N","93.2721","11.9784","270","MLCC"
"C110_2","10n/100V","TopLayer","CAPC1608X08N","66.2846","11.9784","270","MLCC"
"C110_1","10n/100V","TopLayer","CAPC1608X08N","94.8596","11.9784","270","MLCC"
"C109_2","10n/100V","TopLayer","CAPC1608X08N","67.8721","11.9784","270","MLCC"
"C109_1","10n/100V","TopLayer","CAPC1608X08N","96.4471","11.9784","270","MLCC"
"C108_2","10n/100V","TopLayer","CAPC1608X08N","69.4596","11.9784","270","MLCC"
"C108_1","10n/100V","TopLayer","CAPC1608X08N","98.0346","11.9784","270","MLCC"
"R1424_2","10k","TopLayer","RESC1608X05N","84.7313","50.4444","90","SMD Resistor 10k 0603"
"R1424_1","10k","TopLayer","RESC1608X05N","147.4376","49.1909","180","SMD Resistor 10k 0603"
"R1423_2","10k","TopLayer","RESC1608X05N","69.9358","51.5071","180","SMD Resistor 10k 0603"
"R1423_1","10k","TopLayer","RESC1608X05N","147.4376","47.6568","180","SMD Resistor 10k 0603"
"R1422_2","10k","TopLayer","RESC1608X05N","69.9358","50.1101","180","SMD Resistor 10k 0603"
"R1422_1","10k","TopLayer","RESC1608X05N","149.6918","46.2366","90","SMD Resistor 10k 0603"
"R1421_2","10k","TopLayer","RESC1608X05N","69.9358","48.7131","180","SMD Resistor 10k 0603"
"R1421_1","10k","TopLayer","RESC1608X05N","149.6918","42.8711","90","SMD Resistor 10k 0603"
"R610_1","0R","TopLayer","RESC1608X05N","104.8608","40.7121","270","SMD Resistor 0R 0603"
"R610_2","0R","TopLayer","RESC1608X05N","50.2508","40.7121","270","SMD Resistor 0R 0603"
"R608_2","68k","TopLayer","RESC1608X05N","43.9008","36.5846","180","SMD Resistor 68k 0603"
"R608_1","68k","TopLayer","RESC1608X05N","99.1458","37.2196","180","SMD Resistor 68k 0603"
"R607_2","10k","TopLayer","RESC1608X05N","41.9934","38.8071","90","SMD Resistor 10k 0603"
"R607_1","10k","TopLayer","RESC1608X05N","96.6058","39.1246","90","SMD Resistor 10k 0603"
"R606_2","124k","TopLayer","RESC1608X05N","47.7108","38.8071","90","SMD Resistor 124k 0603"
"R606_1","124k","TopLayer","RESC1608X05N","102.3208","39.1246","90","SMD Resistor 124k 0603"
"R605_2","10k","TopLayer","RESC1608X05N","48.9808","38.8071","90","SMD Resistor 10k 0603"
"R605_1","10k","TopLayer","RESC1608X05N","103.5908","39.1246","90","SMD Resistor 10k 0603"
"Q600_2","PBSS4112PANP","TopLayer","PBSS4112PANP","45.4883","38.8070","180","Dual NPN/PNP Transistor"
"Q600_1","PBSS4112PANP","TopLayer","PBSS4112PANP","100.0983","39.1245","180","Dual NPN/PNP Transistor"
"C608_2","10n/100V","TopLayer","CAPC1608X08N","43.2658","38.8071","270","MLCC"
"C608_1","10n/100V","TopLayer","CAPC1608X08N","97.8758","39.1246","270","MLCC"
"U1117","TLX9291A","TopLayer","SOIC127P700X220-4N","49.2983","55.6346","270","Optocoupler, Transistor Output, 1 Channel"
"U1116","TLX9291A","TopLayer","SOIC127P700X220-4N","46.1233","55.6346","270","Optocoupler, Transistor Output, 1 Channel"
"U1115","TLX9291A","TopLayer","SOIC127P700X220-4N","42.9483","55.6346","270","Optocoupler, Transistor Output, 1 Channel"
"U1114","TLX9291A","TopLayer","SOIC127P700X220-4N","39.7733","55.6346","270","Optocoupler, Transistor Output, 1 Channel"
"U1113","TLX9291A","TopLayer","SOIC127P700X220-4N","36.5983","55.6346","270","Optocoupler, Transistor Output, 1 Channel"
"U1112","TLX9291A","TopLayer","SOIC127P700X220-4N","33.4233","55.6346","270","Optocoupler, Transistor Output, 1 Channel"
