Altium Designer Pick and Place Locations
C:\Users\schwarz\AppData\Local\TempReleases\Snapshot\2\Assembly default-no-alarm\pnp-data\Pick Place for foxbms2-interface-mc33664(default-no-alarm).txt

========================================================================================================================
File Design Information:

Date:       12-01-23
Time:       18:05
Revision:   Not in VersionControl
Variant:    default-no-alarm
Units used: mm

Designator    Comment                   Layer       Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                          Height(mm) 
C200_1        1u/50V                    BottomLayer CAPC2012X14N                20.0025      54.2925      0        MLCC                                                                                                                                                 1.4500     
C200_2        1u/50V                    BottomLayer CAPC2012X14N                53.1813      54.2925      0        MLCC                                                                                                                                                 1.4500     
C201_1        100n/50V                  BottomLayer CAPC1608X08N                20.0025      56.1975      0        MLCC                                                                                                                                                 0.8000     
C201_2        100n/50V                  BottomLayer CAPC1608X08N                53.1813      56.1975      0        MLCC                                                                                                                                                 0.8000     
C202_1        100n/50V                  BottomLayer CAPC1608X08N                12.3825      56.1975      180      MLCC                                                                                                                                                 0.8000     
C202_2        100n/50V                  BottomLayer CAPC1608X08N                45.5613      56.1975      180      MLCC                                                                                                                                                 0.8000     
C203_1        1u/50V                    BottomLayer CAPC2012X14N                12.3825      54.2925      180      MLCC                                                                                                                                                 1.4500     
C203_2        1u/50V                    BottomLayer CAPC2012X14N                45.5613      54.2925      180      MLCC                                                                                                                                                 1.4500     
C204_1        1u/50V                    BottomLayer CAPC2012X14N                12.3825      52.0700      180      MLCC                                                                                                                                                 1.4500     
C204_2        1u/50V                    BottomLayer CAPC2012X14N                45.5613      52.0700      180      MLCC                                                                                                                                                 1.4500     
C205_1        100p/50V                  BottomLayer CAPC1608X08N                13.4938      50.1650      180      MLCC                                                                                                                                                 0.8000     
C205_2        100p/50V                  BottomLayer CAPC1608X08N                46.6725      50.1650      180      MLCC                                                                                                                                                 0.8000     
C206_1        100p/50V                  BottomLayer CAPC1608X08N                16.3513      50.1650      180      MLCC                                                                                                                                                 0.8000     
C206_2        100p/50V                  BottomLayer CAPC1608X08N                49.5300      50.1650      180      MLCC                                                                                                                                                 0.8000     
C300_1        4n7/50V                   BottomLayer CAPC1608X08N                13.1763      45.8787      270      MLCC                                                                                                                                                 0.8000     
C300_2        4n7/50V                   BottomLayer CAPC1608X08N                46.3550      45.8787      270      MLCC                                                                                                                                                 0.8000     
C301_1        100p/50V                  BottomLayer CAPC1608X08N                13.1763      42.7038      270      MLCC                                                                                                                                                 0.8000     
C301_2        100p/50V                  BottomLayer CAPC1608X08N                46.3550      42.7038      270      MLCC                                                                                                                                                 0.8000     
D200_1        PESD5V0V1BB               BottomLayer SOD523_PESD_NEXPERIA        13.4938      48.7363      0        "Very low capacitance bidirectional ESD protection diode"                                                                                            0.6500     
D200_2        PESD5V0V1BB               BottomLayer SOD523_PESD_NEXPERIA        46.6725      48.7363      0        "Very low capacitance bidirectional ESD protection diode"                                                                                            0.6500     
D201_1        PESD5V0V1BB               BottomLayer SOD523_PESD_NEXPERIA        16.3513      48.7363      0        "Very low capacitance bidirectional ESD protection diode"                                                                                            0.6500     
D201_2        PESD5V0V1BB               BottomLayer SOD523_PESD_NEXPERIA        49.5300      48.7363      0        "Very low capacitance bidirectional ESD protection diode"                                                                                            0.6500     
J100          ERF8-020-05.0-L-DV-K      BottomLayer SAMTEC_ERF8-020-05.0-L-DV-K 20.0000      115.0000     180      "Edge Rate rugged high-speed connector strips"                                                                                                       5.3300     
J101          molex_microfit_3_01x2_THT TopLayer    MOLEX_MICROFIT_01x2_THT     16.0000      6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200" 8.7630     
J102          molex_microfit_3_01x2_THT TopLayer    MOLEX_MICROFIT_01x2_THT     41.0000      6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200" 8.7630     
MP102         WE_9774140360R            BottomLayer WE_9774140360               5.0000       115.0000     180      "WA-SMSI SMT Steel Spacer with internal thread M 3"                                                                                                  14.0000    
MP103         WE_9774140360R            BottomLayer WE_9774140360               65.0000      115.0000     180      "WA-SMSI SMT Steel Spacer with internal thread M 3"                                                                                                  14.0000    
MP104         WE_9774140360R            BottomLayer WE_9774140360               65.0000      5.0000       180      "WA-SMSI SMT Steel Spacer with internal thread M 3"                                                                                                  14.0000    
MP105         WE_9774140360R            BottomLayer WE_9774140360               5.0000       15.0000      180      "WA-SMSI SMT Steel Spacer with internal thread M 3"                                                                                                  14.0000    
R100          0R                        BottomLayer RESC1608X05N                16.6688      73.3425      270      "SMD Resistor 0R 0603"                                                                                                                               0.4500     
R102          0R                        BottomLayer RESC1608X05N                49.8475      73.3425      270      "SMD Resistor 0R 0603"                                                                                                                               0.4500     
R200_1        10k                       BottomLayer RESC1608X05N                13.0175      66.9925      90       "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R200_2        10k                       BottomLayer RESC1608X05N                46.1963      66.9925      90       "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R201_1        10k                       BottomLayer RESC1608X05N                21.1138      66.9925      90       "SMD Resistor 10k 0603"                                                                                                                              0.4500     
