Comment,Description,Designator,Footprint,LibRef,Quantity,Part Number

"SMTU_1225-1-LF","SMTU 1225-1-LF, Battery Holder 1225","BT6400","SMTU_1225-1-LF","SMTU_1225-1-LF","1","SMTU_1225-1-LF"
"BR2477A/HBN","Coin Cell Battery 3V 1000mAH HI TEMP","BT6401","BR2477A-HBN","BR2477A/HBN","1","BR2477A/HBN"
"22u/10V","MLCC","C1100, C1101, C5000, C5001, C5002, C5007, C5010, C5013, C5016, C5017, C5018, C5019, C5020, C7210, C7211, C7212, C7220, C7239, C7240, C7247, C7248, C7250, C7251","CAPC3216X18N","gen_C_ceramic_22u_10V_X7R_1206","23","gen_C_ceramic_22u_10V_X7R_1206"
"100n/50V","MLCC","C1102, C1109_1, C1109_2, C1112_1, C1112_2, C1115, C1203, C1205, C1207, C1211, C1213, C1217, C1219, C1220, C1221, C1222, C1223, C1602, C3000, C4345, C4346, C4503_1, C4503_2, C4505_1, C4505_2, C5003, C5004, C5005, C5006, C5008, C5011, C5014, C5015, C5021, C5022, C5023, C5024, C5025, C5026, C5027, C5028, C6100, C6101, C6201, C6202, C6204, C6206, C6301_1, C6301_2, C6301_3, C6400, C6401, C6403, C6500, C6600, C6605, C7113, C7114, C7213, C7215, C7221, C7222, C7223, C7227, C7228, C7230, C7231, C7232, C7234, C7238, C7242, C7246, C7249, C7300_1, C7300_2, C8003, C8007, C8009","CAPC1005X06N","gen_C_ceramic_100n_50V_X7R_0402","78","gen_C_ceramic_100n_50V_X7R_0402"
"100n/100V","MLCC","C1103_1, C1103_2, C4501_1, C4501_2, C7000, C7109, C7111, C7115, C7206, C7218, C7226","CAPC1608X08N","gen_C_ceramic_100n_100V_X7R_0603","11","gen_C_ceramic_100n_100V_X7R_0603"
"1u/100V","MLCC","C1104_1, C1104_2","CAPC3216X18N","gen_C_ceramic_1u_100V_X7R_1206","2","gen_C_ceramic_1u_100V_X7R_1206"
"10u/100V","MLCC","C1105_1, C1105_2, C7105, C7106, C7107, C7108, C7207, C7208, C7209, C7301_1, C7301_2, C7302_1, C7302_2","CAPC5750X28N","gen_C_ceramic_10u_100V_X7S_2220","13","gen_C_ceramic_10u_100V_X7S_2220"
"4n7/50V","MLCC","C1106_1, C1106_2","CAPC1005X06N","gen_C_ceramic_4n7_50V_X7R_0402","2","gen_C_ceramic_4n7_50V_X7R_0402"
"10u/16V","MLCC","C1107_1, C1107_2, C1110_1, C1110_2, C1200, C1208, C1214, C6402, C7216, C7224, C7229, C7233, C7235, C7241, C8006, C8008, C8012","CAPC2012X14N","gen_C_ceramic_10u_16V_X7R_0805","17","gen_C_ceramic_10u_16V_X7R_0805"
"1u/50V","MLCC","C1108_1, C1108_2, C1111_1, C1111_2, C1202, C1204, C1206, C1210, C1212, C1216, C1218, C1600, C1601, C4344, C4347, C6200, C6203, C6205, C6300_1, C6300_2, C6300_3, C6606, C7110, C7116","CAPC1608X08N","gen_C_ceramic_1u_50V_X7R_0603","24","gen_C_ceramic_1u_50V_X7R_0603"
"10n/25V","MLCC","C1201, C1209, C1215, C5009, C5012, C7001, C7244, C7245","CAPC1005X06N","gen_C_ceramic_10n_25V_X7R_0402","8","gen_C_ceramic_10n_25V_X7R_0402"
"1n/3000V","MLCC","C1224","CAPC2220(5750)230_N","gen_C_ceramic_1n_3000V_X7R_2220","1","gen_C_ceramic_1n_3000V_X7R_2220"
"4u7/25V","MLCC","C1603","CAPC2012X14N","gen_C_ceramic_4u7_25V_X7R_0805","1","gen_C_ceramic_4u7_25V_X7R_0805"
"220n/35V","MLCC","C1604, C7305_1, C7305_2","CAPC1005X06N","gen_C_ceramic_220n_35V_X7R_0402","3","gen_C_ceramic_220n_35V_X7R_0402"
"150p/50V","MLCC","C4400, C4401, C7118, C7119, C7201","CAPC1005X06N","gen_C_ceramic_150p_50V_C0G_0402","5","gen_C_ceramic_150p_50V_C0G_0402"
"100µF/63V","SMD Electrolytic Capacitor","C4500_1, C4500_2","ELECTROLYTIC_CAP_PANASONIC_G","EEE-TG1J101UP","2","EEE-TG1J101UP"
"10n/100V","MLCC","C4502_1, C4502_2, C4504_1, C4504_2, C4506_1, C4506_2, C4507_1, C4507_2","CAPC1608X08N","gen_C_ceramic_10n_100V_X7R_0603","8","gen_C_ceramic_10n_100V_X7R_0603"
"47n/50V","MLCC","C6601, C7117, C7214, C7243, C7303_1, C7303_2","CAPC1005X06N","gen_C_ceramic_47n_50V_X7R_0402","6","gen_C_ceramic_47n_50V_X7R_0402"
"22n/50V","MLCC","C6602, C6604, C8000, C8001, C8002, C8004, C8005, C8010, C8011, C8013, C8014","CAPC1005X06N","gen_C_ceramic_22n_50V_X7R_0402","11","gen_C_ceramic_22n_50V_X7R_0402"
"27p/50V","MLCC","C6603","CAPC1608X08N","gen_C_ceramic_27p_50V_NP0_0603","1","gen_C_ceramic_27p_50V_NP0_0603"
"22u/25V","MLCC","C7100, C7101, C7102, C7103, C7104","CAPC3225X25N","gen_C_ceramic_22u_25V_X7R_1210","5","gen_C_ceramic_22u_25V_X7R_1210"
"47p/50V","MLCC","C7112","CAPC1005X06N","gen_C_ceramic_47p_50V_C0G_0402","1","gen_C_ceramic_47p_50V_C0G_0402"
"5n6/50V","MLCC","C7120","CAPC1608X08N","gen_C_ceramic_5n6_50V_C0G_0603","1","gen_C_ceramic_5n6_50V_C0G_0603"
"8n2/50V","MLCC","C7200","CAPC1608X08N","gen_C_ceramic_8n2_50V_C0G_0603","1","gen_C_ceramic_8n2_50V_C0G_0603"
"33µF/100V","SMD Electrolytic Capacitor","C7205","ELECTROLYTIC_CAP_PANASONIC_G","EEE-TG2A330P","1","EEE-TG2A330P"
"47n/100V","MLCC","C7217, C7225","CAPC1608X08N","gen_C_ceramic_47n_100V_X7R_0603","2","gen_C_ceramic_47n_100V_X7R_0603"
"1n/100V","MLCC","C7219, C7236, C7237","CAPC1005X06N","gen_C_ceramic_1n_100V_X7R_0402","3","gen_C_ceramic_1n_100V_X7R_0402"
"4u7/100V","MLCC","C7304_1, C7304_2","CAPC3225X25N","gen_C_ceramic_4u7_100V_X7S_1210","2","gen_C_ceramic_4u7_100V_X7S_1210"
"1N4148WQ-7-F","Diode","D1100, D4400, D4401, D6400, D7004, D7006, D7303_1, D7303_2, D7305_1, D7305_2, D8000","SOD-123_CASE-425-04-ISSUE-G","1N4148WQ-7-F","11","1N4148WQ-7-F"
"SM24CANB-02HTG","CAN ESD Protection Diode Array","D1102_1, D1102_2","LF_SOT23-3","SM24CANB-02HTG","2","SM24CANB-02HTG"
"pure green","TLMP1100-GS08","D1200, D1201, D5000, D6601, D7000, D7001, D7002, D7005, D7200","LEDC1608X07N","LED_0603_pure_green_AECQ","9","LED_0603_pure_green_AECQ"
